Rank,Title,Link,Img Link,All topics,Breaking news,Free Speech Week,Protest coverage,Sexual misconduct,Opinion
66,UC Berkeley discontinues religious studies program,http://www.dailycal.org/2017/03/05/uc-berkeley-discontinues-religious-studies-program/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/01/Huston-Smith-248x300.jpg,y,,,,,
67,"Tang Center employee, UC regents sued by UC Berkeley student for sex harassment",http://www.dailycal.org/2017/09/28/uc-berkeley-student-files-sex-harassment-lawsuit-former-tang-center-employee-uc-regents/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/09/tang_rgarner_file.jpg,y,,,,y,
68,UC Berkeley ranks No. 1 on Forbes list of American value colleges,http://www.dailycal.org/2017/04/27/uc-berkeley-ranks-no-1-forbes-list-american-value-colleges/,http://i1.wp.com/www.dailycal.org/assets/uploads/2013/12/SatherGate_MDrummond-copy-e1397272302864.jpg,y,,,,,
69,Posters alleging UC Berkeley community members are ‘terrorist supporters’ appear on campus,http://www.dailycal.org/2017/09/21/posters-alleging-uc-berkeley-community-members-terrorist-supporters-appear-campus/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/09/posters_gageskidmore_cc-900x580.jpeg,y,,,,,
70,Editorial cartoon targeting Alan Dershowitz perpetuates harmful stereotypes,http://www.dailycal.org/2017/10/24/editorial-cartoon-targeting-alan-dershowitz-perpetuates-harmful-stereotypes/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/05/LTTE-01-900x580.png,y,,,,,y
71,Alt-right firebrand Kyle ‘Based Stickman’ Chapman charged with possession of leaded stick,http://www.dailycal.org/2017/08/17/alt-right-firebrand-kyle-based-stickman-chapman-charged-possession-leaded-stick/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/08/Kyle_Based_Stickman-373x450.png,y,,,,,
72,"Berkeley Patriot cancels ‘Free Speech Week,’ support for Milo Yiannopoulos appearance",http://www.dailycal.org/2017/09/23/berkeley-patriot-canceled-free-speech-week-uc-berkeley-announces/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/04/milo_Official_Leweb_photos_creative_commons-900x580.jpg,y,y,y,,,
73,Diversity presentation sparks controversy within Panhellenic sororities,http://www.dailycal.org/2017/12/04/diversity-presentation-sparks-controversy-within-panhellenic-sororities/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/12/sorority_jimxu_staff-900x580.jpg,y,,,,,
74,Milo Yiannopoulos and Free Speech on the Berkeley campus,http://www.dailycal.org/2017/02/01/386004/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/10/michael-drummond-file-crime-400x258.jpg,y,,,,,y
75,UC Berkeley receives reports of body lice in campus buildings,http://www.dailycal.org/2017/02/21/uc-berkeley-receives-reports-body-lice-campus-buildings/,http://i1.wp.com/www.dailycal.org/assets/uploads/2012/04/04.23.library.CHO_.jpg,y,,,,,
